region,Household_capita,Household estimate (tonnes/year),Household_tonnes,Food_service_capita,Food service estimate (tonnes/year),Food_service_tonnes,Retail_capita,Retail estimate (tonnes/year),Retail_tonnes
Tokelau,,,,,,,,,
Tonga,76,7912,8,28,2889,3,16,1634,2
Tuvalu,76,878,,28,321,,16,181,
Wallis and Futuna,,,,,,,,,
Brunei,80,34739,35,26,11080,11,13,5551,6
Cambodia,86,1423397,1423,28,455820,456,16,257853,258
Indonesia,77,20938252,20938,28,7482277,7482,16,4232646,4233
Lao People's Dem. Rep.,86,618994,619,28,198223,198,16,112133,112
Malaysia,91,2921577,2922,90,2861537,2862,79,2518199,2518
Myanmar,86,4666125,4666,28,1494251,1494,16,845282,845
Philippines,86,9334477,9334,28,2989216,2989,16,1690968,1691
Singapore,80,465355,465,26,148418,148,13,74361,74
Thailand,79,5478532,5479,28,1925014,1925,16,1088960,1089
Timor-Leste,86,111643,112,28,35752,36,16,20224,20
Viet Nam,76,7346717,7347,28,2666991,2667,16,1508689,1509
Afghanistan,82,3109153,3109,28,1051783,1052,16,594982,595
Bangladesh,65,10618233,10618,3,544436,544,16,2550080,2550
Bhutan,79,60000,60,28,21098,21,16,11935,12
India,50,68760163,68760,28,37778821,37779,16,21371087,21371
Iran,71,5884842,5885,28,2292410,2292,16,1296792,1297
Maldives,71,37688,38,28,14681,15,16,8305,8
Nepal,79,2249412,2249,28,790975,791,16,447447,447
Pakistan,74,15947645,15948,28,5987614,5988,16,3387131,3387
Sri Lanka,76,1617738,1618,28,589559,590,16,333508,334
Albania,83,238492,238,28,79651,80,16,45058,45
Andorra,84,6497,6,26,1971,2,13,988,
Bosnia and Herzegovina,83,273269,273,28,91266,91,16,51628,52
Croatia,84,348070,348,26,105613,106,13,52915,53
Gibraltar,84,2840,3,26,862,,13,432,
Greece,142,1483996,1484,26,267812,268,7,77332,77
Holy See,,,,,,,,,
Italy,67,4059806,4060,26,1548291,1548,4,219552,220
Malta,129,56812,57,26,11261,11,13,5642,6
Montenegro,83,51988,52,28,17363,17,16,9822,1
North Macedonia,83,172480,172,28,57605,58,16,32586,33
Portugal,84,861786,862,26,261488,261,13,131011,131
San Marino,84,2857,3,26,867,,13,434,
Serbia,83,726196,726,6,52633,53,16,137199,137
Slovenia,34,71107,71,20,41741,42,7,13910,14
Spain,77,3613954,3614,26,1195080,1195,13,598760,599
Angola,100,3169523,3170,28,879908,880,16,497755,498
Benin,100,1175297,1175,28,326280,326,16,184573,185
